area,lat,lon,district,name,population,state
9.75,54.62000,8.96444,Nordfriesland,BredstedtBräist / Bredsted,5633,Schleswig-Holstein
54.58,48.033,7.583,Breisgau-Hochschwarzwald,Breisach,15439,Baden-Württemberg
326.73,53.083,8.800,,Bremen,566573,Bremen
93.82,53.55000,8.58333,,Bremerhaven,113557,Bremen
150.18,53.483,9.133,Rotenburg (Wümme),Bremervörde,18564,Lower Saxony
71.12,49.03639,8.70611,Karlsruhe,Bretten,29538,Baden-Württemberg
30.76,49.81722,9.03500,Odenwaldkreis,Breuberg,7496,Hesse
228.95,51.39556,8.56778,Hochsauerlandkreis,Brilon,25336,North Rhine-Westphalia
49.69,50.8249417,10.4456306,Schmalkalden-Meiningen,Brotterode-Trusetal,5987,Thuringia
29.67,50.183,8.917,Main-Kinzig-Kreis,Bruchköbel,20512,Hesse
93.02,49.133,8.600,Karlsruhe,Bruchsal,45364,Baden-Württemberg
65.24,53.89639,9.13861,Dithmarschen,Brunsbüttel,12364,Schleswig-Holstein
192.13,52.267,10.517,Urban district,Brunswick,248561,Lower Saxony
62.10,47.92972,8.44806,Schwarzwald-Baar-Kreis,Bräunlingen,5898,Baden-Württemberg
85.71,52.200,12.767,Potsdam-Mittelmark,Brück,3945,Brandenburg
27.30,53.717,11.717,Ludwigslust-Parchim,Brüel,2587,Mecklenburg-Western Pomerania
36.12,50.833,6.900,Rhein-Erft-Kreis,Brühl,43673,North Rhine-Westphalia
101.02,53.40000,14.13333,Uckermark,Brüssow,1804,Brandenburg
138.99,49.52167,9.32333,Neckar-Odenwald-Kreis,Buchen,17773,Baden-Württemberg
74.62,53.317,9.867,Harburg,Buchholz in der Nordheide,40091,Lower Saxony
36.16,48.03750,10.72500,Ostallgäu,Buchloe,13406,Bavaria
14.31,52.567,14.083,Märkisch-Oderland,Buckow,1474,Brandenburg
76.55,53.483,13.300,Mecklenburgische Seenplatte,Burg Stargard,5359,Mecklenburg-Western Pomerania
25.92,48.43222,10.40694,Günzburg,Burgau,10159,Bavaria
42.32,49.450,10.317,Neustadt a.d.Aisch-Bad Windsheim,Burgbernheim,3368,Bavaria
112.26,52.45000,10.00833,Hanover,Burgdorf,30899,Lower Saxony
19.85,48.167,12.833,Altötting,Burghausen,18795,Bavaria
40.59,50.117,11.250,Lichtenfels,Burgkunstadt,6399,Bavaria
93.28,49.200,12.033,Schwandorf,Burglengenfeld,13970,Bavaria
25.76,50.917,12.817,Mittelsachsen,Burgstädt,10530,Saxony
151.96,52.49333,9.85861,Hanover,Burgwedel,20229,Lower Saxony
164.02,52.27250,11.85500,Jerichower Land,Burg,22240,Saxony-Anhalt
123.33,48.29028,9.10944,Zollernalbkreis,Burladingen,12241,Baden-Württemberg
27.38,51.10000,7.11667,Rheinisch-Bergischer Kreis,Burscheid,18527,North Rhine-Westphalia
106.60,50.43667,8.66222,Wetteraukreis,Butzbach,26476,Hesse
74.42,49.81028,12.43611,Tirschenreuth,Bärnau,3055,Bavaria
39.04,48.68556,9.01528,Böblingen,Böblingen,50121,Baden-Württemberg
24.55,51.20250,12.38583,Leipzig,Böhlen,6662,Saxony
20.14,49.0410,9.0950,Ludwigsburg,Bönnigheim,8190,Baden-Württemberg
68.84,52.26083,9.04917,Schaumburg,Bückeburg,19351,Lower Saxony
6.24,54.317,9.683,Rendsburg-Eckernförde,Büdelsdorf,10466,Schleswig-Holstein
122.87,50.29083,9.11250,Wetteraukreis,Büdingen,22808,Hesse
73.21,48.69528,8.13500,Rastatt,Bühl,28889,Baden-Württemberg
59.30,52.200,8.600,Herford,Bünde,45376,North Rhine-Westphalia
170.97,51.550,8.567,Paderborn,Büren,21452,North Rhine-Westphalia
27,50.94139,11.75389,Saale-Holzland-Kreis,Bürgel,3047,Thuringia
34.46,49.63333,8.45000,Bergstraße,Bürstadt,16492,Hesse
39.70,53.850,11.983,Rostock,Bützow,7829,Mecklenburg-Western Pomerania
162.59,51.74583,13.95083,Oberspreewald-Lausitz,Calau,7734,Brandenburg
56.62,51.90333,11.77583,Salzlandkreis,Calbe,8299,Saxony-Anhalt
